ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead
590CLR2,Pg590,1,Control,2,22,2,94,7,101,6.930693069
590CLR3,Pg590,1,Control,2,22,3,192,13,205,6.341463415
590CHR1,Pg590,4,Control,2,22,1,250,14,264,5.303030303
590CHR2,Pg590,4,Control,2,22,2,207,17,224,7.589285714
590CHR3,Pg590,4,Control,2,22,3,149,21,170,12.35294118
633CLR1,Pg633,1,Control,2,22,1,77,1,78,1.282051282
633CLR2,Pg633,1,Control,2,22,2,136,10,146,6.849315068
633CLR3,Pg633,1,Control,2,22,3,104,6,110,5.454545455
633CHR1,Pg633,4,Control,2,22,1,89,21,110,19.09090909
633CHR2,Pg633,4,Control,2,22,2,190,7,197,3.553299492
633CHR3,Pg633,4,Control,2,22,3,194,18,212,8.490566038
595CLR1,Pg595,1,Control,2,22,1,88,20,108,18.51851852
595CLR2,Pg595,1,Control,2,22,2,104,15,119,12.60504202
595CLR3,Pg595,1,Control,2,22,3,64,7,71,9.85915493
595CHR1,Pg595,4,Control,2,22,1,119,16,135,11.85185185
595CHR2,Pg595,4,Control,2,22,2,94,18,112,16.07142857
595CHR3,Pg595,4,Control,2,22,3,91,4,95,4.210526316
716CLR1,Pg716,1,Control,2,22,1,188,17,205,8.292682927
716CLR2,Pg716,1,Control,2,22,2,160,11,171,6.432748538
716CLR3,Pg716,1,Control,2,22,3,102,10,112,8.928571429
716CHR1,Pg716,4,Control,2,22,1,108,10,118,8.474576271
716CHR2,Pg716,4,Control,2,22,2,160,15,175,8.571428571
716CHR3,Pg716,4,Control,2,22,3,256,23,279,8.243727599
654CLR1,Pg654,1,Control,2,22,1,82,10,92,10.86956522
654CLR2,Pg654,1,Control,2,22,2,109,17,126,13.49206349
654CLR3,Pg654,1,Control,2,22,3,78,9,87,10.34482759
654CHR1,Pg654,4,Control,2,22,1,131,11,142,7.746478873
654CHR2,Pg654,4,Control,2,22,2,69,2,71,2.816901408
654CHR3,Pg654,4,Control,2,22,3,124,24,148,16.21621622
590DLR1,Pg590,1,Dark,3,36,1,205,27,232,11.63793103
590DLR2,Pg590,1,Dark,3,36,2,161,59,220,26.81818182
590DLR3,Pg590,1,Dark,3,36,3,135,42,177,23.72881356
590DHR1,Pg590,4,Dark,3,36,1,336,47,383,12.27154047
590DHR2,Pg590,4,Dark,3,36,2,141,23,164,14.02439024
590DHR3,Pg590,4,Dark,3,36,3,115,48,163,29.44785276
633DLR1,Pg633,1,Dark,3,36,1,297,59,356,16.57303371
633DLR2,Pg633,1,Dark,3,36,2,229,65,294,22.10884354
633DLR3,Pg633,1,Dark,3,36,3,129,32,161,19.8757764
633DHR1,Pg633,4,Dark,3,36,1,178,52,230,22.60869565
633DHR2,Pg633,4,Dark,3,36,2,113,44,157,28.02547771
633DHR3,Pg633,4,Dark,3,36,3,86,73,159,45.91194969
595DLR1,Pg595,1,Dark,3,36,1,121,50,171,29.23976608
595DLR2,Pg595,1,Dark,3,36,2,68,56,124,45.16129032
595DLR3,Pg595,1,Dark,3,36,3,59,50,109,45.87155963
595DHR1,Pg595,4,Dark,3,36,1,41,38,79,48.10126582
595DHR2,Pg595,4,Dark,3,36,2,53,47,100,47
595DHR3,Pg595,4,Dark,3,36,3,37,96,133,72.18045113
716DLR1,Pg716,1,Dark,3,36,1,129,52,181,28.72928177
716DLR2,Pg716,1,Dark,3,36,2,158,53,211,25.11848341
716DLR3,Pg716,1,Dark,3,36,3,41,23,64,35.9375
716DHR1,Pg716,4,Dark,3,36,1,173,27,200,13.5
716DHR2,Pg716,4,Dark,3,36,2,100,38,138,27.53623188
716DHR3,Pg716,4,Dark,3,36,3,82,11,93,11.82795699
654DLR1,Pg654,1,Dark,3,36,1,270,30,300,10
654DLR2,Pg654,1,Dark,3,36,2,252,43,295,14.57627119
654DLR3,Pg654,1,Dark,3,36,3,152,30,182,16.48351648
654DHR1,Pg654,4,Dark,3,36,1,107,9,116,7.75862069
654DHR2,Pg654,4,Dark,3,36,2,372,25,397,6.297229219
654DHR3,Pg654,4,Dark,3,36,3,157,21,178,11.79775281
590CLR1,Pg590,1,Control,3,36,1,167,28,195,14.35897436
590CLR2,Pg590,1,Control,3,36,2,163,19,182,10.43956044
590CLR3,Pg590,1,Control,3,36,3,227,16,243,6.58436214
590CHR1,Pg590,4,Control,3,36,1,270,7,277,2.527075812
590CHR2,Pg590,4,Control,3,36,2,149,6,155,3.870967742
590CHR3,Pg590,4,Control,3,36,3,139,24,163,14.72392638
633CLR1,Pg633,1,Control,3,36,1,261,34,295,11.52542373
633CLR2,Pg633,1,Control,3,36,2,132,24,156,15.38461538
633CLR3,Pg633,1,Control,3,36,3,162,9,171,5.263157895
633CHR1,Pg633,4,Control,3,36,1,222,10,232,4.310344828
633CHR2,Pg633,4,Control,3,36,2,254,18,272,6.617647059
633CHR3,Pg633,4,Control,3,36,3,151,18,169,10.65088757
595CLR1,Pg595,1,Control,3,36,1,119,21,140,15
595CLR2,Pg595,1,Control,3,36,2,91,16,107,14.95327103
595CLR3,Pg595,1,Control,3,36,3,74,15,89,16.85393258
595CHR1,Pg595,4,Control,3,36,1,106,14,120,11.66666667
595CHR2,Pg595,4,Control,3,36,2,127,22,149,14.76510067
595CHR3,Pg595,4,Control,3,36,3,80,16,96,16.66666667
716CLR1,Pg716,1,Control,3,36,1,260,34,294,11.56462585
716CLR2,Pg716,1,Control,3,36,2,232,28,260,10.76923077
716CLR3,Pg716,1,Control,3,36,3,234,16,250,6.4
716CHR1,Pg716,4,Control,3,36,1,297,6,303,1.98019802
716CHR2,Pg716,4,Control,3,36,2,319,18,337,5.341246291
716CHR3,Pg716,4,Control,3,36,3,123,48,171,28.07017544
654CLR1,Pg654,1,Control,3,36,1,277,24,301,7.973421927
654CLR2,Pg654,1,Control,3,36,2,134,11,145,7.586206897
654CLR3,Pg654,1,Control,3,36,3,162,9,171,5.263157895
654CHR1,Pg654,4,Control,3,36,1,293,15,308,4.87012987
