ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead,prop_dead
654DLR1,654,1,Dark,2,22,1,103,43,146,29.45205479,0.294520548
654DLR2,654,1,Dark,2,22,2,199,27,226,11.94690265,0.119469027
654DLR3,654,1,Dark,2,22,3,187,17,204,8.333333333,0.083333333
654DHR1,654,4,Dark,2,22,1,140,15,155,9.677419355,0.096774194
654DHR2,654,4,Dark,2,22,2,186,12,198,6.060606061,0.060606061
654DHR3,654,4,Dark,2,22,3,116,18,134,13.43283582,0.134328358
590CLR1,590,1,Control,2,22,1,139,10,149,6.711409396,0.067114094
590CLR2,590,1,Control,2,22,2,94,7,101,6.930693069,0.069306931
590CLR3,590,1,Control,2,22,3,192,13,205,6.341463415,0.063414634
590CHR1,590,4,Control,2,22,1,250,14,264,5.303030303,0.053030303
590CHR2,590,4,Control,2,22,2,207,17,224,7.589285714,0.075892857
590CHR3,590,4,Control,2,22,3,149,21,170,12.35294118,0.123529412
633CLR1,633,1,Control,2,22,1,77,1,78,1.282051282,0.012820513
633CLR2,633,1,Control,2,22,2,136,10,146,6.849315068,0.068493151
633CLR3,633,1,Control,2,22,3,104,6,110,5.454545455,0.054545455
633CHR1,633,4,Control,2,22,1,89,21,110,19.09090909,0.190909091
633CHR2,633,4,Control,2,22,2,190,7,197,3.553299492,0.035532995
633CHR3,633,4,Control,2,22,3,194,18,212,8.490566038,0.08490566
595CLR1,595,1,Control,2,22,1,88,20,108,18.51851852,0.185185185
595CLR2,595,1,Control,2,22,2,104,15,119,12.60504202,0.12605042
595CLR3,595,1,Control,2,22,3,64,7,71,9.85915493,0.098591549
595CHR1,595,4,Control,2,22,1,119,16,135,11.85185185,0.118518519
595CHR2,595,4,Control,2,22,2,94,18,112,16.07142857,0.160714286
595CHR3,595,4,Control,2,22,3,91,4,95,4.210526316,0.042105263
716CLR1,716,1,Control,2,22,1,188,17,205,8.292682927,0.082926829
716CLR2,716,1,Control,2,22,2,160,11,171,6.432748538,0.064327485
716CLR3,716,1,Control,2,22,3,102,10,112,8.928571429,0.089285714
716CHR1,716,4,Control,2,22,1,108,10,118,8.474576271,0.084745763
716CHR2,716,4,Control,2,22,2,160,15,175,8.571428571,0.085714286
716CHR3,716,4,Control,2,22,3,256,23,279,8.243727599,0.082437276
654CLR1,654,1,Control,2,22,1,82,10,92,10.86956522,0.108695652
654CLR2,654,1,Control,2,22,2,109,17,126,13.49206349,0.134920635
654CLR3,654,1,Control,2,22,3,78,9,87,10.34482759,0.103448276
654CHR1,654,4,Control,2,22,1,131,11,142,7.746478873,0.077464789
654CHR2,654,4,Control,2,22,2,69,2,71,2.816901408,0.028169014
654CHR3,654,4,Control,2,22,3,124,24,148,16.21621622,0.162162162
590DLR1,590,1,Dark,3,36,1,205,27,232,11.63793103,0.11637931
590DLR2,590,1,Dark,3,36,2,161,59,220,26.81818182,0.268181818
590DLR3,590,1,Dark,3,36,3,135,42,177,23.72881356,0.237288136
590DHR1,590,4,Dark,3,36,1,336,47,383,12.27154047,0.122715405
590DHR2,590,4,Dark,3,36,2,141,23,164,14.02439024,0.140243902
590DHR3,590,4,Dark,3,36,3,115,48,163,29.44785276,0.294478528
633DLR1,633,1,Dark,3,36,1,297,59,356,16.57303371,0.165730337
633DLR2,633,1,Dark,3,36,2,229,65,294,22.10884354,0.221088435
633DLR3,633,1,Dark,3,36,3,129,32,161,19.8757764,0.198757764
633DHR1,633,4,Dark,3,36,1,178,52,230,22.60869565,0.226086957
633DHR2,633,4,Dark,3,36,2,113,44,157,28.02547771,0.280254777
633DHR3,633,4,Dark,3,36,3,86,73,159,45.91194969,0.459119497
595DLR1,595,1,Dark,3,36,1,121,50,171,29.23976608,0.292397661
595DLR2,595,1,Dark,3,36,2,68,56,124,45.16129032,0.451612903
595DLR3,595,1,Dark,3,36,3,59,50,109,45.87155963,0.458715596
595DHR1,595,4,Dark,3,36,1,41,38,79,48.10126582,0.481012658
595DHR2,595,4,Dark,3,36,2,53,47,100,47,0.47
595DHR3,595,4,Dark,3,36,3,37,96,133,72.18045113,0.721804511
716DLR1,716,1,Dark,3,36,1,129,52,181,28.72928177,0.287292818
716DLR2,716,1,Dark,3,36,2,158,53,211,25.11848341,0.251184834
